#Time	June	Oct	Mar
49555	0.777432148	0.775283582	0.767723538
49590	0.777432214	0.775283704	0.767726683
49593	0.777434178	0.775286539	0.767728901
49601	0.777435545	0.775296419	0.767733942
49606	0.777436814	0.775297609	0.767744149
49618	0.777437152	0.775302799	0.767780031
49622	0.777437286	0.775306068	0.767792569
49636	0.777450188	0.77530652	0.767792588
49639	0.777450213	0.775307178	0.767842283
49643	0.777450788	0.775312	0.7678423
49658	0.777451786	0.775313481	0.767855363
49659	0.777454252	0.775316206	0.767855382
49669	0.77745429	0.775316818	0.767897862
49673	0.777454821	0.775317217	0.767911284
49680	0.777455525	0.775317488	0.767911482
49685	0.777455552	0.775327835	0.767914898
49688	0.777455593	0.775329234	0.767921424
49697	0.777459239	0.775330511	0.767921552
49702	0.777460118	0.77533101	0.76792168
49715	0.777460564	0.775332854	0.767924983
49718	0.777468608	0.775333915	0.767933364
49721	0.777469287	0.77533492	0.76793505
49723	0.777475839	0.775335727	0.76793717
49735	0.77747623	0.775338359	0.767937697
49743	0.777476272	0.775338865	0.767946329
49745	0.777505014	0.775343028	0.76795903
49746	0.777513752	0.775345563	0.767978318
49758	0.777513786	0.775345949	0.76798048
49765	0.777514581	0.775349829	0.767992595
49766	0.77751463	0.775350569	0.767999763
49772	0.777514776	0.775356461	0.768004916
49782	0.777514984	0.775357138	0.768004954
49795	0.77751509	0.775357815	0.768005032
49797	0.777515621	0.775359042	0.768006611
49799	0.777520133	0.775377641	0.768010279
49801	0.777520158	0.775377928	0.768024584
49802	0.777521003	0.775379345	0.768024891
49806	0.777524889	0.775388422	0.768030459
49812	0.777525329	0.775390085	0.768030699
49813	0.777525409	0.775390129	0.768037173
49820	0.777526197	0.775390339	0.768060136
49836	0.777526305	0.775390847	0.768060199
49839	0.777526709	0.775390888	0.768060262
49851	0.77752675	0.775392809	0.768100095
49856	0.777526855	0.775430757	0.768100253
49857	0.777527011	0.775431122	0.768100674
49858	0.777527328	0.775443547	0.768113351
49868	0.777527724	0.775443962	0.768117366
49908	0.777528247	0.775451055	0.768117393
