expAges,June 15 2013,October 15 2013,March 15 2014
252000,2.03716E-05,5.05986E-06,1.01436E-05
252900,2.54645E-05,4.04789E-05,1.52155E-05
253800,1.01858E-05,2.02394E-05,3.04309E-05
254700,2.54645E-05,1.01197E-05,1.52155E-05
255600,2.54645E-05,6.07183E-05,3.55027E-05
256500,1.01858E-05,1.51796E-05,1.52155E-05
257400,1.52787E-05,1.01197E-05,2.53591E-05
258300,4.5836E-05,1.51796E-05,2.02873E-05
259200,0.009126467,0.007579667,0.007115759
260100,3.05574E-05,0.000202394,5.07182E-05
261000,0,1.01197E-05,1.52155E-05
261900,5.09289E-06,1.01197E-05,1.52155E-05
262800,5.09289E-06,5.05986E-06,0
263700,0,2.02394E-05,1.01436E-05
264600,5.09289E-06,5.05986E-06,0
265500,1.01858E-05,1.01197E-05,0
266400,2.54645E-05,1.51796E-05,5.07182E-06
267300,5.09289E-06,8.09577E-05,1.52155E-05
268200,2.54645E-05,5.05986E-06,0
269100,1.52787E-05,3.03591E-05,1.01436E-05
270000,1.01858E-05,0,1.01436E-05
270900,1.52787E-05,1.51796E-05,2.02873E-05
271800,2.03716E-05,2.02394E-05,5.07182E-06
272700,1.52787E-05,1.01197E-05,0
273600,2.03716E-05,4.04789E-05,7.10054E-05
274500,1.52787E-05,4.04789E-05,6.08618E-05
275400,1.01858E-05,5.05986E-06,4.56464E-05
276300,0,2.52993E-05,2.02873E-05
277200,3.05574E-05,2.52993E-05,2.53591E-05
278100,1.52787E-05,5.05986E-06,2.53591E-05
279000,6.11147E-05,5.05986E-06,5.07182E-06
279900,7.63934E-05,5.05986E-06,1.52155E-05
280800,5.09289E-05,5.05986E-05,0.000106508
281700,3.56503E-05,5.56584E-05,6.08618E-05
282600,2.03716E-05,2.52993E-05,3.04309E-05
283500,3.05574E-05,5.05986E-05,3.04309E-05
284400,2.03716E-05,6.07183E-05,1.52155E-05
285300,2.03716E-05,1.51796E-05,3.55027E-05
286200,1.01858E-05,5.05986E-06,1.52155E-05
287100,1.52787E-05,5.05986E-06,2.02873E-05
288000,4.07432E-05,5.05986E-06,5.07182E-06
288900,1.52787E-05,0,1.01436E-05
289800,7.63934E-05,0,2.02873E-05
290700,5.09289E-06,1.01197E-05,1.52155E-05
291600,0,5.05986E-06,3.04309E-05
292500,0,0,3.55027E-05
293400,1.52787E-05,0,5.579E-05
294300,1.01858E-05,5.05986E-05,5.07182E-06
295200,0,5.05986E-06,2.02873E-05
296100,2.03716E-05,0,5.07182E-06
297000,5.09289E-06,0,1.01436E-05
297900,1.52787E-05,1.51796E-05,3.55027E-05
298800,1.01858E-05,0,5.07182E-06
299700,1.01858E-05,5.05986E-06,1.01436E-05
300600,0.000213902,0.000247933,0.00027895
301500,5.09289E-06,5.05986E-06,1.01436E-05
302400,0.000106951,0.000106257,2.02873E-05
303300,5.09289E-06,1.51796E-05,2.02873E-05
304200,1.01858E-05,2.02394E-05,5.07182E-06
305100,2.03716E-05,5.05986E-06,0.000126795
306000,5.09289E-06,5.05986E-06,4.05745E-05
306900,1.52787E-05,1.51796E-05,2.02873E-05
307800,1.01858E-05,0,1.52155E-05
308700,2.03716E-05,5.05986E-06,1.52155E-05
309600,5.09289E-06,1.01197E-05,2.02873E-05
310500,1.01858E-05,3.03591E-05,1.01436E-05
311400,0,1.01197E-05,2.02873E-05
312300,1.01858E-05,1.01197E-05,2.53591E-05
313200,1.52787E-05,1.01197E-05,2.02873E-05
314100,5.09289E-06,1.01197E-05,2.02873E-05
315000,5.09289E-06,2.02394E-05,7.60773E-05
315900,5.09289E-06,1.51796E-05,1.01436E-05
316800,2.03716E-05,0,2.53591E-05
317700,1.01858E-05,1.01197E-05,2.02873E-05
318600,4.5836E-05,0,1.01436E-05
